src_ip,dst_ip,protocol,src_port,dst_port,duration, service,src_bytes,dst_bytes,wrong_fragment,hot,num_failed_logins,logged_in,lnum_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count
8.8.8.8,192.168.101.7,6,443,56885,4489,56885,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8.8.8.8,192.168.101.7,6,443,56885,4489,56885,149,149,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8.8.8.8,192.168.101.7,6,443,56885,4489,56885,539,539,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.7,8.8.8.8,6,56885,443,4489,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8.8.8.8,192.168.101.7,6,443,56885,4489,56885,71,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8.8.8.8,192.168.101.7,6,443,56885,4489,56885,141,141,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8.8.8.8,192.168.101.7,6,443,56885,4489,56885,539,539,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.7,8.8.8.8,6,56885,443,4489,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.7,35.207.209.40,17,63577,50002,121801,50002,1167,1167,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.7,35.207.209.40,17,63577,50002,121801,50002,1167,1167,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.7,35.207.209.40,17,63577,50002,121801,50002,1167,1167,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,443,58778,121801,58778,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,443,58778,121801,58778,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,443,58778,121801,58778,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,443,58778,121801,58778,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.7,13.107.42.16,6,58778,443,121801,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,443,58778,121801,58778,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,443,58778,121801,58778,265,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,57425,443,121801,443,265,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,57425,443,121801,443,265,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,53,61893,121801,61893,265,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,53,61892,121801,61892,265,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,53,61891,121801,61891,265,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,61893,53,121801,53,265,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,61892,53,121801,53,265,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,61891,53,121801,53,265,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,61893,53,121801,53,265,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13.107.42.16,192.168.101.7,6,61893,53,121801,53,265,265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,8.8.8.8,17,63210,53,515850,53,62,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,142.250.193.35,17,65260,443,515850,443,1278,1278,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,142.250.193.35,17,65260,443,515850,443,107,107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8.8.8.8,10.10.11.233,17,53,63210,515850,63210,188,188,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,104.16.86.20,17,64617,443,515850,443,1278,1278,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
104.16.86.20,10.10.11.233,17,443,64617,515850,64617,1228,1228,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
104.16.86.20,10.10.11.233,17,443,64617,515850,64617,1228,1228,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
104.16.86.20,10.10.11.233,17,443,64617,515850,64617,784,784,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,104.16.86.20,17,64617,443,515850,443,81,81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,104.16.86.20,17,64617,443,515850,443,113,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,104.16.86.20,17,443,54244,515850,54244,113,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,104.16.86.20,17,443,54244,515850,54244,113,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,104.16.86.20,17,443,54244,515850,54244,113,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,104.16.86.20,17,443,54244,515850,54244,113,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,104.16.86.20,17,443,59074,515850,59074,113,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,104.16.86.20,17,54244,443,515850,443,113,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,104.16.86.20,17,443,54244,515850,54244,113,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,104.16.86.20,17,443,54244,515850,54244,113,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,104.16.86.20,17,443,54244,515850,54244,113,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.10.11.233,104.16.86.20,17,443,54244,515850,54244,113,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40.90.184.73,192.168.101.4,6,443,58142,1370954,58142,52,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
